Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
Coleman Lemke,Portland,G,6'8,Sophomore,0,0.7,0.4,0.3,-37,20,23.5,50
Junjie Wang,San Francisco,F,6'9,Freshman,0,2.4,0.9,0.2,-6,41,31.8,66.7
Michael Graham,LMU (CA),F,6'9,Senior,5,3,4.3,0.1,2,62.1,NA,53.8
Boubacar Coulibaly,Pepperdine,F,6'10,Junior,8,8.3,4.5,0.4,-12,59,NA,52.4
Vasilije Vucinic,Portland,F,6'11,Junior,8,4.3,2.6,0.5,-45,58.9,0,62.5
Camaron Tongue,Santa Clara,F,6'7,Junior,0,4.5,2.9,0.4,60,53.3,50,61.7
Ryan Nembhard,Gonzaga,G,6',Junior,31,13.2,4.1,6.8,433,45.4,32.7,74.5
Christian Hammond,Santa Clara,G,6'4,Freshman,2,3.5,1.8,0.9,26,41.8,17.6,82.4
Greg Outlaw,Pacific,G,6'4,Senior,1,4.1,1.5,0.2,-148,41.2,41.2,92.3
Luke McEldon,Santa Clara,F,6'10,Freshman,0,1.4,1.4,0.5,-12,54.5,NA,66.7
Francisco Caffaro,Santa Clara,F,7'1,Senior,6,4.4,3.9,1.3,18,66.2,NA,61.9
Anton Watson,Gonzaga,F,6'8,Senior,31,14.2,7.1,2.5,428,57,40,64.9
Augustas Marciulionis,Saint Mary's (CA),G,6'4,Junior,32,12.7,3.3,5.4,400,44.3,35,75.9
Chris Howell,Saint Mary's (CA),G,6'6,Sophomore,0,1.5,1.3,0.7,78,28.3,16.1,66.7
Tyeree Bryan,Santa Clara,G,6'5,Junior,6,8,3.9,0.6,46,42.9,38,70.3
Marcus Williams,San Francisco,G,6'2,Senior,32,14.2,3.2,3.8,270,45.8,33.3,68.5
Burke Smith,Pacific,F,6'11,Junior,1,4.5,1.9,0.5,-190,52.6,34.6,50
Graham Ike,Gonzaga,F,6'9,Junior,31,16.2,7,0.9,349,59.3,23.1,78
Emmanuel Callas,San Diego,G,6'5,Sophomore,8,0.7,0.9,0.8,-21,40,0,0
Steven Jamerson II,San Diego,F,6'10,Junior,23,8.4,8,1,-89,61.7,NA,55.9
Harry Wessels,Saint Mary's (CA),F,7'1,Sophomore,0,4.1,3.4,0.2,79,60.3,NA,79.3
Jalen Benjamin,Santa Clara,G,5'11,Senior,11,4.5,1.1,1.9,-10,35,26.9,68.2
Joshua Jefferson,Saint Mary's (CA),F,6'8,Sophomore,25,10.1,6.5,2.3,252,47,27.6,72.3
Keli Leaupepe,LMU (CA),F,6'6,Senior,18,9.7,5.3,1.2,-11,41.4,30.4,77.6
Cade Bennett,Saint Mary's (CA),G,6',Freshman,0,0.8,0.6,0.7,28,37.5,27.3,NA
Aidan Mahaney,Saint Mary's (CA),G,6'3,Sophomore,32,13.8,2.7,2.5,323,38.8,36.2,81.2
David Mager,Pepperdine,G,6'3,Sophomore,0,1.4,0.2,0.4,7,50,33.3,NA
Kevin Gad,Saint Mary's (CA),F,6'6,Freshman,0,1.5,0.5,0.1,9,41.2,41.7,NA
Malik Moore,Pepperdine,G,6'5,Sophomore,25,8.7,1.9,1.9,-57,39.9,36.4,81.2
Adama Bal,Santa Clara,G,6'7,Junior,29,14.4,3.2,3.1,137,43,34,81.5
Jalen Pitre,Pepperdine,F,6'8,Sophomore,4,4.3,3.2,0.5,-48,49.3,26.1,52.6
Jevon Porter,Pepperdine,F,6'11,Sophomore,18,16.1,5.9,1.6,-34,42.4,27.3,77.2
